adopter_group,audiencecohort,save_rate_denom,saves,save_rate
early,targetablegroup_paidsoc,3868919,968156,0.250239408
late,targetablegroup_paidsoc,3349171,642205,0.191750436
early,targetablegroup_control,3660235,915982,0.250252238
early,holdoutgroup_control,207451,49788,0.239998843
early,holdoutgroup_paidsoc,208455,51855,0.248758725
late,holdoutgroup_paidsoc,185646,35492,0.191181065
late,holdoutgroup_paiddis,186010,35552,0.191129509
early,holdoutgroup_paiddis,208684,52174,0.250014376
late,holdoutgroup_control,185312,34095,0.183987006
late,targetablegroup_paiddis,3348807,642145,0.191753362
early,targetablegroup_paiddis,3868690,967837,0.250171764
late,targetablegroup_control,3163161,606653,0.19178695